epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,1683.61,0.84381,0.68493,0.94398,0.51292,0.33404,0.34088,0.19711,1.57554,2.24639,1.39792,0.0083467,0.0083467,0.0083467
169,1691.29,0.84235,0.67971,0.95319,0.76986,0.67303,0.69646,0.48081,1.01004,0.94797,1.00709,0.0083368,0.0083368,0.0083368
170,1699.06,0.84591,0.67924,0.94153,0.75392,0.66031,0.69813,0.47461,0.98752,0.96177,0.99244,0.0083269,0.0083269,0.0083269
171,1706.8,0.84935,0.68415,0.94491,0.76966,0.60297,0.668,0.46102,1.02632,1.05223,1.01652,0.008317,0.008317,0.008317
172,1714.45,0.85947,0.70081,0.9467,0.55684,0.37206,0.36433,0.2047,1.7231,2.58747,1.9035,0.0083071,0.0083071,0.0083071
173,1722.19,0.85616,0.70515,0.9535,0.61605,0.52621,0.54181,0.36292,1.17237,1.3563,1.07303,0.0082972,0.0082972,0.0082972
174,1729.96,0.833,0.67992,0.93671,0.69885,0.62617,0.64436,0.43848,1.03387,1.02146,1.0185,0.0082873,0.0082873,0.0082873
175,1737.83,0.84196,0.65852,0.93951,0.71351,0.6312,0.65165,0.44918,1.01129,1.02034,0.99881,0.0082774,0.0082774,0.0082774
176,1745.54,0.84774,0.67801,0.93539,0.7301,0.66284,0.69283,0.47446,0.99776,0.99929,1.00214,0.0082675,0.0082675,0.0082675
177,1753.24,0.81132,0.66041,0.93954,0.71735,0.6122,0.64222,0.43977,1.01701,1.09131,1.01505,0.0082576,0.0082576,0.0082576
178,1760.99,0.82924,0.65701,0.93461,0.68478,0.56211,0.61275,0.41058,1.09312,1.26797,1.02509,0.0082477,0.0082477,0.0082477
179,1768.72,0.85651,0.69838,0.94666,0.66931,0.62042,0.64183,0.43263,1.06224,1.17483,1.0346,0.0082378,0.0082378,0.0082378
