epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1032.86,0.9511,0.91647,0.98806,0.35896,0.23675,0.18883,0.06887,2.50591,2.77695,3.50486,0.0087031,0.0087031,0.0087031
133,1040.69,0.97961,0.91899,1.00131,0.58306,0.66007,0.63884,0.42429,1.07698,1.08999,1.03351,0.0086932,0.0086932,0.0086932
134,1048.46,0.96076,0.89431,0.99531,0.41049,0.35538,0.35596,0.18491,1.70802,2.307,1.77545,0.0086833,0.0086833,0.0086833
135,1056.23,0.94579,0.88176,0.98852,0.6379,0.61397,0.63258,0.41923,1.06021,1.03701,1.04177,0.0086734,0.0086734,0.0086734
136,1063.99,0.92981,0.86975,0.99196,0.66166,0.26721,0.29628,0.13898,2.0358,2.39163,2.51945,0.0086635,0.0086635,0.0086635
137,1071.76,0.96297,0.92712,0.99561,0.65413,0.14082,0.17375,0.08256,2.1546,3.60613,2.28599,0.0086536,0.0086536,0.0086536
138,1079.63,0.96507,0.90709,0.99759,0.57158,0.4396,0.45436,0.25702,1.40291,1.73952,1.29585,0.0086437,0.0086437,0.0086437
139,1087.46,0.97659,0.92208,0.99879,0.60339,0.65742,0.63534,0.41795,1.06579,1.08531,1.0347,0.0086338,0.0086338,0.0086338
140,1095.33,0.93955,0.85287,0.99497,0.58705,0.30675,0.3432,0.18666,1.59837,2.39285,1.56133,0.0086239,0.0086239,0.0086239
141,1103.12,0.96865,0.88554,1.00093,0.67429,0.6214,0.6531,0.43603,1.03122,1.02545,1.0248,0.008614,0.008614,0.008614
142,1110.88,0.95199,0.88618,0.99748,0.39115,0.36619,0.34513,0.1685,1.72696,2.13355,1.84614,0.0086041,0.0086041,0.0086041
143,1118.72,0.95229,0.89759,1.00072,0.65587,0.53052,0.58087,0.38568,1.10805,1.373,1.07539,0.0085942,0.0085942,0.0085942
144,1126.47,0.93336,0.83382,0.98289,0.48875,0.08676,0.08245,0.02317,3.05598,5.06251,4.59787,0.0085843,0.0085843,0.0085843
145,1134.42,0.93282,0.83637,0.98511,0.63941,0.61082,0.64329,0.42948,1.05368,1.03457,1.02693,0.0085744,0.0085744,0.0085744
146,1142.22,0.93954,0.86983,0.98394,0.60407,0.20862,0.20164,0.09131,2.27673,2.8362,2.90188,0.0085645,0.0085645,0.0085645
147,1149.94,0.9478,0.87429,0.98415,0.64071,0.57785,0.61322,0.41644,1.05169,1.1705,1.02338,0.0085546,0.0085546,0.0085546
148,1157.81,0.92677,0.85373,0.98513,0.70446,0.63117,0.65588,0.43793,1.04469,1.01046,1.02609,0.0085447,0.0085447,0.0085447
149,1165.6,0.94547,0.8615,0.99468,0.57566,0.54386,0.53487,0.32944,1.22059,1.26462,1.19167,0.0085348,0.0085348,0.0085348
150,1173.46,0.93467,0.85179,0.99572,0.54357,0.46837,0.44493,0.24037,1.49462,1.59138,1.62481,0.0085249,0.0085249,0.0085249
151,1181.22,0.9658,0.88323,0.99629,0.42724,0.11621,0.10811,0.03688,2.97187,3.5442,4.44213,0.008515,0.008515,0.008515
152,1189.03,0.9601,0.86949,0.99655,0.59265,0.2832,0.33849,0.18051,1.61136,2.24212,1.66449,0.0085051,0.0085051,0.0085051
153,1196.8,0.94014,0.85865,0.98659,0.64508,0.61671,0.62731,0.41391,1.05048,1.14849,1.02356,0.0084952,0.0084952,0.0084952
154,1204.66,0.93854,0.86728,0.98115,0.52135,0.33975,0.34065,0.18357,1.67514,2.12706,1.71885,0.0084853,0.0084853,0.0084853
155,1212.44,0.92496,0.83348,0.98642,0.64983,0.62929,0.64126,0.43687,1.05667,1.0037,1.02583,0.0084754,0.0084754,0.0084754
156,1220.29,0.92809,0.84891,0.98183,0.6915,0.61125,0.63348,0.41756,1.06382,1.09285,1.03598,0.0084655,0.0084655,0.0084655
157,1228.06,0.90711,0.82826,0.97924,0.65368,0.59631,0.64427,0.44731,1.03699,1.11627,1.02249,0.0084556,0.0084556,0.0084556
158,1235.85,0.90388,0.80522,0.97983,0.42192,0.19446,0.13522,0.0538,2.68084,4.00322,3.72955,0.0084457,0.0084457,0.0084457
159,1243.64,0.93371,0.84789,0.98888,0.43073,0.36554,0.33871,0.1659,1.72312,2.32258,1.79639,0.0084358,0.0084358,0.0084358
160,1251.55,0.92608,0.83422,0.98376,0.60824,0.61175,0.62227,0.3923,1.17455,1.33833,1.10653,0.0084259,0.0084259,0.0084259
161,1259.31,0.9149,0.83788,0.97688,0.48435,0.2878,0.25894,0.10583,2.2593,3.06803,2.87753,0.008416,0.008416,0.008416
162,1267.13,0.91966,0.82288,0.97917,0.71588,0.61438,0.65779,0.43126,1.0788,1.02933,1.07172,0.0084061,0.0084061,0.0084061
163,1274.91,0.93971,0.86177,0.99938,0.43581,0.20349,0.14417,0.05564,2.53409,4.28354,3.16944,0.0083962,0.0083962,0.0083962
164,1282.76,0.92474,0.84118,0.98695,0.53668,0.14162,0.13706,0.06918,2.45843,3.57573,3.15818,0.0083863,0.0083863,0.0083863
165,1290.49,0.91298,0.82278,0.98819,0.5557,0.58509,0.55884,0.37722,1.07152,1.16138,1.04977,0.0083764,0.0083764,0.0083764
166,1298.34,0.92536,0.85505,0.98541,0.51346,0.30514,0.36349,0.19758,1.58044,2.00531,1.60758,0.0083665,0.0083665,0.0083665
167,1306.22,0.93889,0.87053,0.98253,0.63753,0.59392,0.6115,0.41111,1.05403,1.10464,1.0226,0.0083566,0.0083566,0.0083566
168,1313.99,0.91338,0.84757,0.97537,0.65424,0.64501,0.64821,0.43701,1.02734,1.00451,1.01287,0.0083467,0.0083467,0.0083467
169,1321.81,0.9186,0.83749,0.98763,0.58101,0.6704,0.65261,0.44991,1.0137,0.97348,1.0087,0.0083368,0.0083368,0.0083368
170,1329.67,0.92846,0.81573,0.97467,0.55431,0.40297,0.41759,0.22794,1.54707,2.31507,1.66439,0.0083269,0.0083269,0.0083269
171,1337.45,0.92992,0.83652,0.97725,0.51601,0.48044,0.45718,0.24582,1.62547,1.8624,1.71079,0.008317,0.008317,0.008317
172,1345.23,0.94875,0.8602,0.97708,0.64072,0.61168,0.62487,0.42494,1.05668,1.02296,1.0328,0.0083071,0.0083071,0.0083071
173,1353.08,0.9337,0.8617,0.98472,0.38044,0.27965,0.27201,0.14706,1.77318,2.77111,1.89024,0.0082972,0.0082972,0.0082972
